Data Table for Daily Case Trends - United States
Date generated: Fri Jul 30 2021 12:09:28 GMT-0500 (Central Daylight Time)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Jul 28 2021,86058,66606,436
United States,Jul 27 2021,82581,62231,424
United States,Jul 26 2021,52612,56912,54
United States,Jul 25 2021,51848,54053,44
United States,Jul 24 2021,59318,51472,138
United States,Jul 23 2021,67096,48152,533
United States,Jul 22 2021,66730,44383,457
United States,Jul 21 2021,55438,40596,301
United States,Jul 20 2021,45342,38100,309
United States,Jul 19 2021,32601,36445,301
United States,Jul 18 2021,33783,34917,45
United States,Jul 17 2021,36074,32984,71
United States,Jul 16 2021,40715,31208,179
United States,Jul 15 2021,40225,29492,263
United States,Jul 14 2021,37960,27946,240
United States,Jul 13 2021,33760,25832,156
United States,Jul 12 2021,21908,23131,85
United States,Jul 11 2021,20251,21641,83
United States,Jul 10 2021,23639,20563,123
United States,Jul 9 2021,28706,19316,686
United States,Jul 8 2021,29399,17616,101
United States,Jul 7 2021,23165,16087,203
United States,Jul 6 2021,14852,15242,71
United States,Jul 5 2021,11481,15425,34
United States,Jul 4 2021,12705,15168,27
United States,Jul 3 2021,14905,14686,111
United States,Jul 2 2021,16810,14351,129
United States,Jul 1 2021,18695,13885,122
United States,Jun 30 2021,17252,13414,136
United States,Jun 29 2021,16129,13031,122
United States,Jun 28 2021,9686,12671,44
United States,Jun 27 2021,9331,12492,58
United States,Jun 26 2021,12558,12476,0
United States,Jun 25 2021,13550,12354,0
United States,Jun 24 2021,15394,12051,0
United States,Jun 23 2021,14571,11791,0
United States,Jun 22 2021,13612,11670,0
United States,Jun 21 2021,8430,11612,0
United States,Jun 20 2021,9223,11560,0
United States,Jun 19 2021,11702,11469,0
United States,Jun 18 2021,11428,11497,0
United States,Jun 17 2021,13575,11939,0
United States,Jun 16 2021,13720,12389,0
United States,Jun 15 2021,13212,13200,0
United States,Jun 14 2021,8064,13363,0
United States,Jun 13 2021,8587,13657,0
United States,Jun 12 2021,11894,14159,0
United States,Jun 11 2021,14522,14681,0
United States,Jun 10 2021,16728,15310,1
United States,Jun 9 2021,19398,15573,464
United States,Jun 8 2021,14354,15104,0
United States,Jun 7 2021,10122,14438,0
United States,Jun 6 2021,12100,14305,0
United States,Jun 5 2021,15543,14263,0
United States,Jun 4 2021,18928,14287,0
United States,Jun 3 2021,18572,14543,0
United States,Jun 2 2021,16113,15002,0
